County,State,CBSA Code,CBSA Title,Latitude,Longitude
Benton County,Oregon,18700,"Corvallis, OR",44.6281686,-123.3873877
Benton County,Washington,28420,"Kennewick-Richland, WA",46.3166362,-119.5021582
Benton County,Arkansas,22220,"Fayetteville-Springdale-Rogers, AR-MO",36.2661518,-94.479976
Benton County,Indiana,29200,"Lafayette-West Lafayette, IN",40.644786,-87.3413599
Benton County,Minnesota,41060,"St. Cloud, MN",45.7211058,-93.9732855
Benton County,Mississippi,32820,"Memphis, TN-MS-AR",34.7712669,-89.1705998
Benton County,Iowa,16300,"Cedar Rapids, IA",42.1387249,-92.0665197
Bergen County,New Jersey,35620,"New York-Newark-Jersey City, NY-NJ-PA",40.9262762,-74.07701
Berkeley County,West Virginia,25180,"Hagerstown-Martinsburg, MD-WV",39.4885604,-78.0651931
Berkeley County,South Carolina,16700,"Charleston-North Charleston, SC",33.1260618,-80.0087746
Berks County,Pennsylvania,39740,"Reading, PA",40.3451566,-75.9927652
Berkshire County,Massachusetts,38340,"Pittsfield, MA",42.311782,-73.1821623
Bernalillo County,New Mexico,10740,"Albuquerque, NM",35.0177854,-106.6291304
Berrien County,Michigan,35660,"Niles-Benton Harbor, MI",42.0320742,-86.7416374
Bexar County,Texas,41700,"San Antonio-New Braunfels, TX",29.4200763,-98.5721016
Bibb County,Alabama,13820,"Birmingham-Hoover, AL",32.9562798,-87.14228949999999
Bibb County,Georgia,31420,"Macon-Bibb County, GA",32.7865735,-83.7199136
Black Hawk County,Iowa,47940,"Waterloo-Cedar Falls, IA",42.447804,-92.38136209999999
Blair County,Pennsylvania,11020,"Altoona, PA",40.4531318,-78.3842227
Blount County,Alabama,13820,"Birmingham-Hoover, AL",34.0145152,-86.49965460000001
Blount County,Tennessee,28940,"Knoxville, TN",35.6710541,-83.8473015
Blue Earth County,Minnesota,31860,"Mankato-North Mankato, MN",43.9505132,-93.9878427
Boise County,Idaho,14260,"Boise City, ID",43.9604787,-115.8563106
Bollinger County,Missouri,16020,"Cape Girardeau, MO-IL",37.2115595,-90.0746767
Bond County,Illinois,41180,"St. Louis, MO-IL",38.902985,-89.4742177
Bonneville County,Idaho,26820,"Idaho Falls, ID",43.4508683,-111.5455289
Boone County,West Virginia,16620,"Charleston, WV",37.9838605,-81.73494199999999
Boone County,Illinois,40420,"Rockford, IL",42.34849759999999,-88.8263006
Boone County,Indiana,26900,"Indianapolis-Carmel-Anderson, IN",40.0106163,-86.49965460000001
