,Sampling Technique,Classifier,Score Type,Best Score,Best Params,Confusion Matrix
50,Down Sampling,SVM,accuracy,0.5842105263157895,"{'C': 100, 'degree': 3, 'kernel': 'poly'}",50.png
51,Down Sampling,SVM,f1,0.6287689298670885,"{'C': 1000, 'degree': 5, 'kernel': 'poly'}",51.png
52,Down Sampling,SVM,precision,0.7031796502384737,"{'C': 1, 'degree': 3, 'kernel': 'poly'}",52.png
53,Down Sampling,SVM,recall,0.8189473684210526,"{'C': 1000, 'degree': 5, 'kernel': 'poly'}",53.png
54,Down Sampling,SVM,roc_auc,0.6214252077562327,"{'C': 100, 'degree': 2, 'kernel': 'poly'}",54.png
55,Down Sampling,Random Forest,accuracy,0.5581578947368422,"{'criterion': 'gini', 'max_depth': 4, 'n_estimators': 10}",55.png
56,Down Sampling,Random Forest,f1,0.5626820674875596,"{'criterion': 'gini', 'max_depth': 4, 'n_estimators': 10}",56.png
57,Down Sampling,Random Forest,precision,0.5647727272727272,"{'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 10}",57.png
58,Down Sampling,Random Forest,recall,0.5405263157894737,"{'criterion': 'gini', 'max_depth': 4, 'n_estimators': 25}",58.png
59,Down Sampling,Random Forest,roc_auc,0.5459279778393352,"{'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 25}",59.png
