,CBSA,DAYWAIT_0,DAYWAIT_1,DAYWAIT_2,DAYWAIT_3,DAYWAIT_4,LOS_30,LOS_60,LOS_90,LOS_120,LOS_180,LOS_365,LOS_365_PLUS,PSOURCE_1,PSOURCE_2,PSOURCE_3,PSOURCE_4,PSOURCE_5,PSOURCE_6,PSOURCE_7,REASON_1,REASON_2,REASON_3,REASON_4,REASON_5,REASON_6,COUNT
0,10180,0.9982502187226596,0.0013123359580052493,0.0004374453193350831,0.0,0.0,0.7563429571303587,0.1089238845144357,0.0389326334208224,0.04024496937882765,0.03543307086614173,0.01837270341207349,0.0017497812773403325,0.7974628171478565,0.049868766404199474,0.021872265966754154,0.0,0.0013123359580052493,0.0857392825896763,0.04374453193350831,0.7414698162729659,0.17541557305336833,0.05336832895888014,0.02668416447944007,0.0030621172353455816,0.0,1.0
1,10380,0.910828025477707,0.0732484076433121,0.0031847133757961785,0.012738853503184714,0.0,0.1178343949044586,0.22611464968152867,0.10828025477707007,0.06369426751592357,0.09554140127388536,0.1178343949044586,0.27070063694267515,0.3662420382165605,0.009554140127388535,0.0,0.0,0.0,0.006369426751592357,0.6178343949044586,0.6242038216560509,0.2770700636942675,0.028662420382165606,0.044585987261146494,0.009554140127388535,0.01592356687898089,1.0
2,10420,0.3107208610678374,0.25237218524288346,0.20946041637161875,0.14700467355898597,0.0804418637586744,0.12547797762356608,0.13822404758532786,0.18566775244299674,0.12363687862908937,0.1504036255487891,0.18665911344002267,0.08993060473020818,0.15790964452627107,0.17122220648633338,0.03724684888825945,0.0042486899872539305,0.006089788981730633,0.08653165274040504,0.5367511683897465,0.3860642968418071,0.28636170514091486,0.24189208327432374,0.044327998867016,0.0361138648916584,0.005240050984279847,1.0
3,10740,0.8308457711442786,0.1044776119402985,0.04477611940298507,0.004975124378109453,0.014925373134328358,0.6069651741293532,0.06965174129353234,0.07960199004975124,0.06467661691542288,0.04975124378109453,0.06467661691542288,0.06467661691542288,0.39303482587064675,0.04477611940298507,0.15422885572139303,0.004975124378109453,0.004975124378109453,0.208955223880597,0.1890547263681592,0.39800995024875624,0.208955223880597,0.03482587064676617,0.29850746268656714,0.04477611940298507,0.014925373134328358,1.0
4,10780,0.8372379778051788,0.10172626387176326,0.01972872996300863,0.02527743526510481,0.016029593094944512,0.531442663378545,0.1029593094944513,0.22872996300863133,0.07398273736128237,0.040073982737361284,0.02096177558569667,0.0018495684340320592,0.08014796547472257,0.3212083847102343,0.04438964241676942,0.02157829839704069,0.0,0.06165228113440197,0.47102342786683105,0.18557336621454995,0.4007398273736128,0.007398273736128237,0.39827373612823674,0.008014796547472256,0.0,1.0
5,10900,0.3178062678062678,0.28732193732193734,0.16894586894586894,0.1371794871794872,0.08874643874643874,0.21965811965811965,0.1943019943019943,0.18874643874643873,0.13418803418803418,0.12179487179487179,0.09700854700854701,0.0443019943019943,0.19074074074074074,0.23974358974358975,0.03034188034188034,0.005270655270655271,0.0027065527065527066,0.0698005698005698,0.4613960113960114,0.4358974358974359,0.2722222222222222,0.151994301994302,0.10441595441595442,0.03304843304843305,0.0024216524216524216,1.0
6,11020,0.5112986404125645,0.38134083450539147,0.057665260196905765,0.03713080168776371,0.01256446319737459,0.8110642287857478,0.08907641819034225,0.044444444444444446,0.02184716361931552,0.017440225035161745,0.01256446319737459,0.0035630567276136896,0.09095171120487576,0.7011720581340835,0.019784341303328644,0.011908110642287858,0.0015002344116268166,0.052039381153305204,0.12264416315049226,0.7247069854664792,0.16624472573839663,0.014814814814814815,0.08438818565400844,0.009376465072667605,0.00046882325363338024,1.0
7,11100,1.0,0.0,0.0,0.0,0.0,0.22814070351758794,0.27035175879396983,0.17386934673366833,0.23618090452261306,0.08341708542713568,0.008040201005025126,0.0,0.15879396984924624,0.05527638190954774,0.033165829145728645,0.0010050251256281408,0.024120603015075376,0.5336683417085427,0.19396984924623115,0.49447236180904525,0.021105527638190954,0.4452261306532663,0.033165829145728645,0.005025125628140704,0.0010050251256281408,1.0
8,11260,0.9612930667800936,0.016482347937048066,0.006592939174819226,0.005316886431305828,0.010314759676733305,0.36590812420246704,0.09623564440663547,0.11452573373032753,0.11856656741811995,0.1349425776265419,0.13037005529561888,0.039451297320289236,0.29402381965121227,0.02796682262866865,0.10888983411314335,0.012122501063377287,0.0008507018290089324,0.17662696724797958,0.37951935346661,0.4633134836239898,0.2666950233943003,0.14802211824755424,0.09198213526159081,0.027860484900042535,0.002126754572522331,1.0
9,11460,0.520098730606488,0.3702397743300423,0.06770098730606489,0.03349788434414669,0.00846262341325811,0.6784203102961918,0.08674188998589563,0.06558533145275035,0.03913963328631876,0.03244005641748942,0.04936530324400564,0.04830747531734838,0.5440761636107193,0.2119181946403385,0.0535966149506347,0.001763046544428773,0.0,0.10366713681241185,0.08497884344146686,0.17489421720733428,0.39562764456981664,0.028208744710860368,0.38928067700987307,0.008815232722143865,0.003173483779971791,1.0
10,11500,0.8235294117647058,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.0,0.0,0.29411764705882354,0.4117647058823529,0.7647058823529411,0.058823529411764705,0.11764705882352941,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.35294117647058826,0.29411764705882354,0.058823529411764705,0.17647058823529413,0.058823529411764705,1.0
11,11640,0.5527831094049904,0.11324376199616124,0.07677543186180422,0.23416506717850288,0.023032629558541268,0.7197696737044146,0.16698656429942418,0.03838771593090211,0.02111324376199616,0.009596928982725527,0.019193857965451054,0.02495201535508637,0.003838771593090211,0.0019193857965451055,0.0019193857965451055,0.013435700575815739,0.0,0.003838771593090211,0.9750479846449136,0.963531669865643,0.023032629558541268,0.0019193857965451055,0.007677543186180422,0.003838771593090211,0.0,1.0
12,11780,0.9470774091627172,0.035545023696682464,0.008688783570300158,0.005529225908372828,0.00315955766192733,0.2725118483412322,0.14454976303317535,0.0971563981042654,0.16666666666666666,0.17614533965244866,0.11216429699842022,0.030805687203791468,0.1579778830963665,0.030015797788309637,0.02132701421800948,0.00631911532385466,0.01579778830963665,0.04739336492890995,0.7211690363349131,0.40837282780410744,0.1674565560821485,0.36018957345971564,0.029225908372827805,0.0315955766192733,0.00315955766192733,1.0
