,code,n_killed,n_injured,n_guns_involved,n_incidents
537,32580,26.0,20.0,61.0,54
538,32620,31.0,28.0,48.0,47
539,32660,4.0,1.0,20.0,8
540,32700,10.0,15.0,11.0,9
541,32740,7.0,9.0,39.0,18
542,32780,20.0,28.0,273.0,168
543,32820,334.0,839.0,1490.0,1268
544,32860,13.0,4.0,25.0,24
545,32900,33.0,46.0,252.0,161
546,32940,49.0,97.0,177.0,167
547,32980,7.0,7.0,19.0,18
548,33020,4.0,8.0,134.0,31
549,33060,10.0,9.0,30.0,23
550,33100,574.0,913.0,2366.0,1862
551,33140,8.0,25.0,74.0,66
552,33180,12.0,19.0,153.0,45
553,33220,10.0,7.0,21.0,21
554,33260,5.0,3.0,27.0,26
555,33300,17.0,15.0,62.0,53
556,33340,237.0,650.0,1454.0,1397
557,33420,6.0,6.0,15.0,15
558,33460,161.0,388.0,1091.0,960
559,33500,7.0,18.0,75.0,67
560,33540,14.0,9.0,83.0,71
561,33580,6.0,5.0,25.0,18
562,33620,9.0,1.0,14.0,14
563,33660,127.0,206.0,498.0,396
564,33700,50.0,66.0,208.0,150
565,33740,34.0,43.0,125.0,107
566,33780,5.0,9.0,30.0,20
567,33860,99.0,171.0,308.0,279
568,33940,4.0,3.0,52.0,21
569,33980,3.0,5.0,23.0,13
570,34020,7.0,15.0,39.0,35
571,34060,32.0,35.0,127.0,98
572,34100,9.0,10.0,37.0,25
573,34140,5.0,2.0,23.0,16
574,34180,1.0,14.0,108.0,43
575,34220,19.0,31.0,98.0,79
576,34260,10.0,9.0,46.0,37
577,34300,6.0,1.0,6.0,6
578,34340,5.0,6.0,37.0,19
579,34380,5.0,6.0,52.0,28
580,34420,9.0,14.0,20.0,18
581,34460,20.0,12.0,51.0,35
582,34500,3.0,6.0,67.0,37
583,34540,14.0,4.0,33.0,26
584,34580,16.0,3.0,40.0,21
585,34620,16.0,37.0,104.0,74
586,34660,3.0,4.0,67.0,22
587,34700,1.0,9.0,49.0,43
588,34740,27.0,59.0,150.0,111
589,34780,19.0,23.0,130.0,76
590,34820,69.0,161.0,610.0,420
591,34860,13.0,8.0,43.0,24
592,34900,9.0,4.0,14.0,12
593,34940,16.0,20.0,132.0,101
