,code,n_killed,n_injured,n_guns_involved,n_incidents
142,16020,15.0,32.0,154.0,99
143,16060,26.0,53.0,157.0,136
144,16100,9.0,19.0,123.0,74
145,16140,3.0,3.0,7.0,6
146,16180,3.0,4.0,17.0,17
147,16220,9.0,6.0,133.0,119
148,16260,8.0,3.0,17.0,16
149,16300,15.0,40.0,342.0,121
150,16340,15.0,5.0,24.0,24
151,16380,2.0,4.0,12.0,10
152,16420,4.0,7.0,49.0,20
153,16460,4.0,11.0,89.0,50
154,16500,7.0,5.0,41.0,26
155,16540,9.0,16.0,80.0,58
156,16580,27.0,73.0,349.0,233
157,16620,51.0,129.0,355.0,297
158,16660,3.0,6.0,32.0,26
159,16700,134.0,207.0,633.0,524
160,16740,247.0,523.0,1503.0,1097
161,16820,22.0,31.0,107.0,82
162,16860,74.0,242.0,388.0,354
163,16940,11.0,13.0,75.0,51
164,16980,1792.0,6997.0,9401.0,8246
165,17020,16.0,46.0,232.0,138
166,17060,12.0,6.0,81.0,38
167,17140,274.0,601.0,1242.0,957
168,17200,4.0,5.0,76.0,38
169,17220,17.0,9.0,74.0,54
170,17260,5.0,4.0,11.0,11
171,17300,44.0,60.0,332.0,209
172,17340,5.0,7.0,26.0,18
173,17380,7.0,16.0,19.0,19
174,17420,11.0,10.0,44.0,36
175,17460,383.0,852.0,1919.0,1504
176,17500,11.0,39.0,43.0,40
177,17540,4.0,5.0,19.0,15
178,17580,6.0,14.0,60.0,31
179,17660,15.0,6.0,84.0,52
180,17700,5.0,4.0,40.0,12
181,17740,1.0,6.0,12.0,8
182,17780,24.0,29.0,111.0,94
183,17820,76.0,185.0,642.0,487
184,17860,24.0,64.0,402.0,283
185,17900,115.0,224.0,502.0,419
186,17980,91.0,235.0,488.0,450
187,18020,16.0,11.0,53.0,45
188,18060,18.0,29.0,83.0,64
189,18100,5.0,3.0,18.0,17
190,18140,309.0,560.0,966.0,881
191,18180,4.0,8.0,138.0,78
192,18220,3.0,4.0,19.0,14
193,18260,9.0,5.0,27.0,17
194,18300,2.0,5.0,20.0,15
195,18380,16.0,8.0,28.0,21
196,18420,23.0,41.0,74.0,65
197,18460,9.0,6.0,23.0,14
198,18500,1.0,4.0,33.0,26
199,18580,40.0,74.0,319.0,238
200,18620,16.0,8.0,69.0,20
201,18660,2.0,3.0,20.0,16
202,18700,4.0,5.0,22.0,19
203,18740,3.0,3.0,6.0,6
204,18780,1.0,1.0,2.0,2
205,18820,2.0,4.0,22.0,14
206,18860,2.0,8.0,9.0,8
207,18880,25.0,58.0,236.0,191
208,18900,10.0,7.0,23.0,23
209,18980,20.0,10.0,50.0,39
210,19000,9.0,9.0,25.0,21
211,19060,8.0,13.0,55.0,37
212,19100,577.0,586.0,1780.0,1455
213,19140,7.0,8.0,61.0,18
214,19180,15.0,42.0,83.0,77
215,19220,5.0,4.0,32.0,20
216,19260,29.0,54.0,110.0,93
217,19300,18.0,11.0,73.0,46
218,19340,27.0,58.0,232.0,206
219,19380,149.0,361.0,1303.0,821
220,19420,3.0,6.0,11.0,11
221,19460,26.0,49.0,197.0,107
222,19500,15.0,60.0,126.0,107
223,19540,2.0,0.0,23.0,9
224,19580,6.0,3.0,12.0,12
225,19620,7.0,3.0,18.0,18
226,19660,72.0,133.0,532.0,333
227,19700,4.0,0.0,2.0,2
228,19740,216.0,259.0,1091.0,676
229,19760,2.0,4.0,23.0,9
230,19780,32.0,116.0,298.0,259
231,19820,503.0,874.0,2172.0,1790
232,19860,5.0,17.0,51.0,43
233,19940,2.0,1.0,11.0,8
234,19980,2.0,2.0,3.0,3
235,20020,22.0,42.0,145.0,109
236,20060,3.0,4.0,22.0,19
237,20100,19.0,69.0,385.0,245
238,20140,8.0,8.0,19.0,17
239,20180,1.0,4.0,9.0,9
240,20220,3.0,12.0,46.0,36
241,20260,14.0,27.0,128.0,79
242,20300,0.0,3.0,4.0,4
243,20340,10.0,16.0,44.0,35
244,20380,9.0,16.0,28.0,27
245,20420,11.0,5.0,21.0,18
246,20460,6.0,7.0,25.0,21
247,20500,53.0,168.0,357.0,273
248,20540,7.0,40.0,62.0,40
249,20580,0.0,0.0,2.0,1
250,20660,5.0,2.0,92.0,16
251,20700,34.0,32.0,198.0,119
252,20740,11.0,5.0,44.0,35
253,20780,0.0,1.0,19.0,9
254,20820,1.0,3.0,10.0,10
255,20900,1.0,0.0,1.0,1
256,20940,6.0,4.0,41.0,20
257,20980,13.0,7.0,18.0,18
258,21020,6.0,40.0,51.0,47
259,21060,19.0,13.0,106.0,45
260,21120,4.0,1.0,5.0,5
261,21140,26.0,48.0,106.0,95
262,21180,12.0,4.0,38.0,29
263,21220,8.0,3.0,206.0,20
264,21260,2.0,0.0,11.0,5
265,21300,8.0,19.0,67.0,49
266,21340,32.0,45.0,122.0,111
267,21380,1.0,2.0,7.0,6
268,21420,4.0,13.0,60.0,44
269,21460,8.0,18.0,38.0,36
270,21500,26.0,65.0,187.0,143
271,21540,3.0,0.0,3.0,3
272,21580,4.0,8.0,40.0,31
273,21640,5.0,12.0,17.0,17
274,21660,19.0,24.0,203.0,106
275,21700,27.0,39.0,421.0,286
276,21740,0.0,1.0,2.0,2
277,21780,43.0,108.0,404.0,315
278,21820,42.0,30.0,359.0,243
279,21840,2.0,4.0,9.0,9
280,21860,2.0,1.0,5.0,5
281,21900,14.0,13.0,50.0,39
282,21980,2.0,0.0,1.0,1
283,22020,9.0,19.0,117.0,98
284,22060,6.0,0.0,5.0,5
285,22100,8.0,12.0,34.0,31
286,22140,15.0,16.0,57.0,39
287,22180,76.0,110.0,239.0,208
288,22220,15.0,37.0,236.0,115
289,22260,5.0,8.0,35.0,24
290,22280,4.0,5.0,6.0,6
291,22300,8.0,3.0,16.0,14
292,22340,7.0,4.0,16.0,13
293,22380,22.0,12.0,63.0,38
294,22420,95.0,172.0,465.0,330
295,22500,49.0,107.0,240.0,207
296,22520,23.0,27.0,101.0,62
297,22540,5.0,3.0,25.0,18
298,22580,9.0,10.0,24.0,24
299,22620,15.0,31.0,58.0,46
300,22660,20.0,14.0,56.0,48
301,22700,4.0,7.0,35.0,30
302,22780,6.0,10.0,23.0,18
303,22800,6.0,3.0,17.0,12
304,22820,0.0,1.0,1.0,1
305,22840,3.0,5.0,39.0,18
306,22860,4.0,2.0,9.0,8
307,22900,30.0,37.0,120.0,104
308,23060,91.0,171.0,473.0,350
309,23140,3.0,4.0,14.0,12
310,23180,18.0,16.0,51.0,46
311,23240,3.0,0.0,7.0,7
312,23300,7.0,19.0,105.0,70
313,23340,4.0,7.0,44.0,17
314,23380,9.0,6.0,26.0,24
315,23420,87.0,274.0,1438.0,675
316,23460,21.0,11.0,43.0,41
317,23500,12.0,15.0,75.0,34
318,23540,27.0,59.0,219.0,191
319,23580,15.0,33.0,90.0,72
320,23620,4.0,2.0,6.0,6
321,23660,8.0,3.0,22.0,16
322,23700,5.0,2.0,9.0,9
323,23780,0.0,1.0,6.0,3
324,23820,4.0,4.0,11.0,10
325,23860,8.0,16.0,43.0,35
326,23900,1.0,1.0,15.0,9
327,23940,3.0,1.0,6.0,6
328,23980,15.0,15.0,53.0,45
329,24020,4.0,10.0,69.0,47
330,24060,6.0,4.0,28.0,18
331,24100,2.0,1.0,15.0,10
332,24140,33.0,61.0,272.0,175
333,24220,8.0,8.0,36.0,35
334,24260,4.0,5.0,24.0,20
335,24300,17.0,21.0,262.0,200
336,24330,1.0,3.0,22.0,13
337,24340,57.0,146.0,332.0,244
338,24380,6.0,0.0,5.0,5
339,24420,15.0,18.0,168.0,57
340,24460,2.0,10.0,27.0,21
341,24500,9.0,9.0,57.0,44
342,24540,13.0,21.0,73.0,63
343,24580,7.0,8.0,53.0,39
344,24620,13.0,13.0,110.0,74
345,24640,2.0,8.0,54.0,33
346,24660,119.0,225.0,496.0,365
347,24700,7.0,5.0,31.0,21
348,24740,22.0,27.0,45.0,44
349,24780,15.0,67.0,225.0,164
350,24820,2.0,8.0,69.0,35
351,24860,115.0,168.0,398.0,387
352,24900,33.0,31.0,76.0,67
353,24940,15.0,29.0,69.0,62
354,24980,13.0,12.0,25.0,25
355,25060,53.0,98.0,329.0,238
356,25100,1.0,1.0,4.0,4
357,25180,14.0,23.0,137.0,80
358,25200,1.0,0.0,4.0,2
359,25220,31.0,36.0,190.0,109
360,25260,17.0,22.0,61.0,52
361,25300,2.0,2.0,34.0,13
362,25420,62.0,116.0,476.0,356
363,25460,9.0,1.0,11.0,11
364,25500,6.0,7.0,23.0,23
365,25540,55.0,153.0,811.0,515
366,25580,2.0,1.0,9.0,8
367,25620,23.0,53.0,104.0,95
368,25700,7.0,3.0,10.0,10
369,25720,3.0,1.0,6.0,5
370,25740,12.0,1.0,74.0,55
