,City,State,CBSA Code,CBSA Title
461,Greenwood,South Carolina,24940,"Greenwood, SC"
462,Grenada,Mississippi,24980,"Grenada, MS"
463,Guayama,Puerto Rico,25020,"Guayama, PR"
464,Biloxi,Mississippi,25060,"Gulfport-Biloxi-Pascagoula, MS"
465,Gulfport,Mississippi,25060,"Gulfport-Biloxi-Pascagoula, MS"
466,Pascagoula,Mississippi,25060,"Gulfport-Biloxi-Pascagoula, MS"
467,Guymon,Oklahoma,25100,"Guymon, OK"
468,Hagerstown,Maryland,25180,"Hagerstown-Martinsburg, MD-WV"
469,Martinsburg,West Virginia,25180,"Hagerstown-Martinsburg, MD-WV"
470,Hailey,Idaho,25200,"Hailey, ID"
471,Hammond,Louisiana,25220,"Hammond, LA"
472,Corcoran,California,25260,"Hanford-Corcoran, CA"
473,Hanford,California,25260,"Hanford-Corcoran, CA"
474,Hannibal,Missouri,25300,"Hannibal, MO"
475,Carlisle,Pennsylvania,25420,"Harrisburg-Carlisle, PA"
476,Harrisburg,Pennsylvania,25420,"Harrisburg-Carlisle, PA"
477,Harrison,Arkansas,25460,"Harrison, AR"
478,Harrisonburg,Virginia,25500,"Harrisonburg, VA"
479,East Hartford,Connecticut,25540,"Hartford-West Hartford-East Hartford, CT"
480,Hartford,Connecticut,25540,"Hartford-West Hartford-East Hartford, CT"
481,Middletown,Connecticut,25540,"Hartford-West Hartford-East Hartford, CT"
482,West Hartford,Connecticut,25540,"Hartford-West Hartford-East Hartford, CT"
483,Hastings,Nebraska,25580,"Hastings, NE"
484,Hattiesburg,Mississippi,25620,"Hattiesburg, MS"
485,Hays,Kansas,25700,"Hays, KS"
486,Heber,Utah,25720,"Heber, UT"
487,Helena,Montana,25740,"Helena, MT"
488,Helena-West Helena,Arkansas,25760,"Helena-West Helena, AR"
489,Henderson,North Carolina,25780,"Henderson, NC"
490,Hereford,Texas,25820,"Hereford, TX"
491,Hermiston,Oregon,25840,"Hermiston-Pendleton, OR"
492,Pendleton,Oregon,25840,"Hermiston-Pendleton, OR"
493,Hickory,North Carolina,25860,"Hickory-Lenoir-Morganton, NC"
494,Lenoir,North Carolina,25860,"Hickory-Lenoir-Morganton, NC"
495,Morganton,North Carolina,25860,"Hickory-Lenoir-Morganton, NC"
496,Hillsdale,Michigan,25880,"Hillsdale, MI"
497,Hilo,Hawaii,25900,"Hilo, HI"
498,Beaufort,South Carolina,25940,"Hilton Head Island-Bluffton-Beaufort, SC"
499,Bluffton,South Carolina,25940,"Hilton Head Island-Bluffton-Beaufort, SC"
500,Hilton Head Island,South Carolina,25940,"Hilton Head Island-Bluffton-Beaufort, SC"
501,Hinesville,Georgia,25980,"Hinesville, GA"
502,Hobbs,New Mexico,26020,"Hobbs, NM"
503,Holland,Michigan,26090,"Holland, MI"
504,Homosassa Springs,Florida,26140,"Homosassa Springs, FL"
505,Hood River,Oregon,26220,"Hood River, OR"
506,Hope,Arkansas,26260,"Hope, AR"
507,Hot Springs,Arkansas,26300,"Hot Springs, AR"
508,Houghton,Michigan,26340,"Houghton, MI"
509,Houma,Louisiana,26380,"Houma-Thibodaux, LA"
510,Thibodaux,Louisiana,26380,"Houma-Thibodaux, LA"
511,Baytown,Texas,26420,"Houston-The Woodlands-Sugar Land, TX"
512,Conroe,Texas,26420,"Houston-The Woodlands-Sugar Land, TX"
513,Houston,Texas,26420,"Houston-The Woodlands-Sugar Land, TX"
514,Sugar Land,Texas,26420,"Houston-The Woodlands-Sugar Land, TX"
515,The Woodlands,Texas,26420,"Houston-The Woodlands-Sugar Land, TX"
516,Hudson,New York,26460,"Hudson, NY"
517,Huntingdon,Pennsylvania,26500,"Huntingdon, PA"
518,Huntington,Indiana,26540,"Huntington, IN"
519,Ashland,Kentucky,26580,"Huntington-Ashland, WV-KY-OH"
520,Huntington,West Virginia,26580,"Huntington-Ashland, WV-KY-OH"
521,Huntsville,Alabama,26620,"Huntsville, AL"
522,Huntsville,Texas,26660,"Huntsville, TX"
523,Huron,South Dakota,26700,"Huron, SD"
524,Hutchinson,Kansas,26740,"Hutchinson, KS"
525,Hutchinson,Minnesota,26780,"Hutchinson, MN"
526,Idaho Falls,Idaho,26820,"Idaho Falls, ID"
527,Indiana,Pennsylvania,26860,"Indiana, PA"
528,Anderson,Indiana,26900,"Indianapolis-Carmel-Anderson, IN"
529,Carmel,Indiana,26900,"Indianapolis-Carmel-Anderson, IN"
530,Indianapolis city (balance),Indiana,26900,"Indianapolis-Carmel-Anderson, IN"
531,Indianola,Mississippi,26940,"Indianola, MS"
532,Ionia,Michigan,26960,"Ionia, MI"
533,Iowa City,Iowa,26980,"Iowa City, IA"
534,Iron Mountain,Michigan,27020,"Iron Mountain, MI-WI"
535,Ithaca,New York,27060,"Ithaca, NY"
536,Jackson,Michigan,27100,"Jackson, MI"
537,Jackson,Mississippi,27140,"Jackson, MS"
538,Jackson,Ohio,27160,"Jackson, OH"
539,Jackson,Tennessee,27180,"Jackson, TN"
540,Jackson,Wyoming,27220,"Jackson, WY-ID"
541,Jacksonville,Florida,27260,"Jacksonville, FL"
542,Jacksonville,Illinois,27300,"Jacksonville, IL"
543,Jacksonville,North Carolina,27340,"Jacksonville, NC"
544,Jacksonville,Texas,27380,"Jacksonville, TX"
545,Jamestown,North Dakota,27420,"Jamestown, ND"
546,Dunkirk,New York,27460,"Jamestown-Dunkirk-Fredonia, NY"
547,Fredonia,New York,27460,"Jamestown-Dunkirk-Fredonia, NY"
548,Jamestown,New York,27460,"Jamestown-Dunkirk-Fredonia, NY"
549,Beloit,Wisconsin,27500,"Janesville-Beloit, WI"
550,Janesville,Wisconsin,27500,"Janesville-Beloit, WI"
551,Jasper,Indiana,27540,"Jasper, IN"
552,Jayuya,Puerto Rico,27580,"Jayuya, PR"
553,Jefferson,Georgia,27600,"Jefferson, GA"
554,Jefferson City,Missouri,27620,"Jefferson City, MO"
555,Jennings,Louisiana,27660,"Jennings, LA"
556,Jesup,Georgia,27700,"Jesup, GA"
557,Johnson City,Tennessee,27740,"Johnson City, TN"
558,Johnstown,Pennsylvania,27780,"Johnstown, PA"
559,Jonesboro,Arkansas,27860,"Jonesboro, AR"
560,Joplin,Missouri,27900,"Joplin, MO"
561,Junction City,Kansas,27920,"Junction City, KS"
562,Juneau,Alaska,27940,"Juneau, AK"
563,Kahului,Hawaii,27980,"Kahului-Wailuku-Lahaina, HI"
564,Lahaina,Hawaii,27980,"Kahului-Wailuku-Lahaina, HI"
565,Wailuku,Hawaii,27980,"Kahului-Wailuku-Lahaina, HI"
566,Kalamazoo,Michigan,28020,"Kalamazoo-Portage, MI"
567,Portage,Michigan,28020,"Kalamazoo-Portage, MI"
568,Kalispell,Montana,28060,"Kalispell, MT"
569,Kankakee,Illinois,28100,"Kankakee, IL"
570,Kansas City,Kansas,28140,"Kansas City, MO-KS"
571,Overland Park,Kansas,28140,"Kansas City, MO-KS"
572,Kansas City,Kansas,28140,"Kansas City, MO-KS"
573,Kapaa,Hawaii,28180,"Kapaa, HI"
574,Kearney,Nebraska,28260,"Kearney, NE"
575,Keene,New Hampshire,28300,"Keene, NH"
576,Kendallville,Indiana,28340,"Kendallville, IN"
577,Kennett,Missouri,28380,"Kennett, MO"
578,Kennewick,Washington,28420,"Kennewick-Richland, WA"
579,Richland,Washington,28420,"Kennewick-Richland, WA"
580,Kerrville,Texas,28500,"Kerrville, TX"
581,Ketchikan,Alaska,28540,"Ketchikan, AK"
582,Key West,Florida,28580,"Key West, FL"
583,Kill Devil Hills,North Carolina,28620,"Kill Devil Hills, NC"
584,Killeen,Texas,28660,"Killeen-Temple, TX"
585,Temple,Texas,28660,"Killeen-Temple, TX"
586,Bristol,Tennessee,28700,"Kingsport-Bristol-Bristol, TN-VA"
587,Kingsport,Tennessee,28700,"Kingsport-Bristol-Bristol, TN-VA"
588,Bristol,Tennessee,28700,"Kingsport-Bristol-Bristol, TN-VA"
589,Kingston,New York,28740,"Kingston, NY"
590,Kingsville,Texas,28780,"Kingsville, TX"
591,Kinston,North Carolina,28820,"Kinston, NC"
592,Kirksville,Missouri,28860,"Kirksville, MO"
593,Klamath Falls,Oregon,28900,"Klamath Falls, OR"
594,Knoxville,Tennessee,28940,"Knoxville, TN"
595,Kokomo,Indiana,29020,"Kokomo, IN"
596,Laconia,New Hampshire,29060,"Laconia, NH"
597,La Crosse,Wisconsin,29100,"La Crosse-Onalaska, WI-MN"
598,Onalaska,Wisconsin,29100,"La Crosse-Onalaska, WI-MN"
599,Lafayette,Louisiana,29180,"Lafayette, LA"
600,Lafayette,Indiana,29200,"Lafayette-West Lafayette, IN"
601,West Lafayette,Indiana,29200,"Lafayette-West Lafayette, IN"
602,La Grande,Oregon,29260,"La Grande, OR"
603,LaGrange,Georgia,29300,"LaGrange, GA"
604,Lake Charles,Louisiana,29340,"Lake Charles, LA"
605,Lake City,Florida,29380,"Lake City, FL"
606,Kingman,Arizona,29420,"Lake Havasu City-Kingman, AZ"
607,Lake Havasu City,Arizona,29420,"Lake Havasu City-Kingman, AZ"
608,Lakeland,Florida,29460,"Lakeland-Winter Haven, FL"
609,Winter Haven,Florida,29460,"Lakeland-Winter Haven, FL"
610,Lamesa,Texas,29500,"Lamesa, TX"
611,Lancaster,Pennsylvania,29540,"Lancaster, PA"
612,East Lansing,Michigan,29620,"Lansing-East Lansing, MI"
613,Lansing,Michigan,29620,"Lansing-East Lansing, MI"
614,Laramie,Wyoming,29660,"Laramie, WY"
615,Laredo,Texas,29700,"Laredo, TX"
616,Las Cruces,New Mexico,29740,"Las Cruces, NM"
617,Las Vegas,New Mexico,29780,"Las Vegas, NM"
618,Henderson,Nevada,29820,"Las Vegas-Henderson-Paradise, NV"
619,Las Vegas,Nevada,29820,"Las Vegas-Henderson-Paradise, NV"
620,Paradise,Nevada,29820,"Las Vegas-Henderson-Paradise, NV"
621,Laurel,Mississippi,29860,"Laurel, MS"
622,Laurinburg,North Carolina,29900,"Laurinburg, NC"
623,Lawrence,Kansas,29940,"Lawrence, KS"
624,Lawrenceburg,Tennessee,29980,"Lawrenceburg, TN"
625,Lawton,Oklahoma,30020,"Lawton, OK"
626,Lebanon,Missouri,30060,"Lebanon, MO"
627,Lebanon,Pennsylvania,30140,"Lebanon, PA"
628,Levelland,Texas,30220,"Levelland, TX"
629,Lewisburg,Pennsylvania,30260,"Lewisburg, PA"
630,Lewisburg,Tennessee,30280,"Lewisburg, TN"
631,Lewiston,Idaho,30300,"Lewiston, ID-WA"
632,Auburn,Maine,30340,"Lewiston-Auburn, ME"
633,Lewiston,Maine,30340,"Lewiston-Auburn, ME"
634,Lewistown,Pennsylvania,30380,"Lewistown, PA"
635,Lexington,Nebraska,30420,"Lexington, NE"
636,Lexington-Fayette,Kentucky,30460,"Lexington-Fayette, KY"
637,Liberal,Kansas,30580,"Liberal, KS"
638,Lima,Ohio,30620,"Lima, OH"
639,Lincoln,Illinois,30660,"Lincoln, IL"
640,Lincoln,Nebraska,30700,"Lincoln, NE"
641,Conway,Arkansas,30780,"Little Rock-North Little Rock-Conway, AR"
642,Little Rock,Arkansas,30780,"Little Rock-North Little Rock-Conway, AR"
643,North Little Rock,Arkansas,30780,"Little Rock-North Little Rock-Conway, AR"
644,Lock Haven,Pennsylvania,30820,"Lock Haven, PA"
645,Logan,Utah,30860,"Logan, UT-ID"
646,Logan,West Virginia,30880,"Logan, WV"
647,Logansport,Indiana,30900,"Logansport, IN"
648,London,Kentucky,30940,"London, KY"
649,Longview,Texas,30980,"Longview, TX"
650,Longview,Washington,31020,"Longview, WA"
651,Los Alamos,New Mexico,31060,"Los Alamos, NM"
652,Anaheim,California,31080,"Los Angeles-Long Beach-Anaheim, CA"
653,Arcadia,California,31080,"Los Angeles-Long Beach-Anaheim, CA"
654,Burbank,California,31080,"Los Angeles-Long Beach-Anaheim, CA"
655,Carson,California,31080,"Los Angeles-Long Beach-Anaheim, CA"
656,Costa Mesa,California,31080,"Los Angeles-Long Beach-Anaheim, CA"
657,Fountain Valley,California,31080,"Los Angeles-Long Beach-Anaheim, CA"
658,Gardena,California,31080,"Los Angeles-Long Beach-Anaheim, CA"
659,Glendale,California,31080,"Los Angeles-Long Beach-Anaheim, CA"
660,Irvine,California,31080,"Los Angeles-Long Beach-Anaheim, CA"
661,Long Beach,California,31080,"Los Angeles-Long Beach-Anaheim, CA"
662,Los Angeles,California,31080,"Los Angeles-Long Beach-Anaheim, CA"
663,Monterey Park,California,31080,"Los Angeles-Long Beach-Anaheim, CA"
664,Newport Beach,California,31080,"Los Angeles-Long Beach-Anaheim, CA"
665,Orange,California,31080,"Los Angeles-Long Beach-Anaheim, CA"
666,Pasadena,California,31080,"Los Angeles-Long Beach-Anaheim, CA"
667,Santa Ana,California,31080,"Los Angeles-Long Beach-Anaheim, CA"
668,Santa Monica,California,31080,"Los Angeles-Long Beach-Anaheim, CA"
669,Torrance,California,31080,"Los Angeles-Long Beach-Anaheim, CA"
670,Tustin,California,31080,"Los Angeles-Long Beach-Anaheim, CA"
671,Louisville/Jefferson County metro government (balance),,31140,"Louisville/Jefferson County, KY-IN"
672,Lubbock,Texas,31180,"Lubbock, TX"
673,Ludington,Michigan,31220,"Ludington, MI"
674,Lufkin,Texas,31260,"Lufkin, TX"
675,Lumberton,North Carolina,31300,"Lumberton, NC"
676,Lynchburg,Virginia,31340,"Lynchburg, VA"
677,Macomb,Illinois,31380,"Macomb, IL"
678,Macon-Bibb County,Georgia,31420,"Macon-Bibb County, GA"
679,Madera,California,31460,"Madera, CA"
680,Madison,Indiana,31500,"Madison, IN"
681,Madison,Wisconsin,31540,"Madison, WI"
682,Madisonville,Kentucky,31580,"Madisonville, KY"
683,Magnolia,Arkansas,31620,"Magnolia, AR"
684,Malone,New York,31660,"Malone, NY"
685,Malvern,Arkansas,31680,"Malvern, AR"
686,Manchester,New Hampshire,31700,"Manchester-Nashua, NH"
687,Nashua,New Hampshire,31700,"Manchester-Nashua, NH"
688,Manhattan,Kansas,31740,"Manhattan, KS"
689,Manitowoc,Wisconsin,31820,"Manitowoc, WI"
690,Mankato,Minnesota,31860,"Mankato-North Mankato, MN"
691,North Mankato,Minnesota,31860,"Mankato-North Mankato, MN"
692,Mansfield,Ohio,31900,"Mansfield, OH"
693,Marietta,Ohio,31930,"Marietta, OH"
694,Marinette,Wisconsin,31940,"Marinette, WI-MI"
695,Marion,Indiana,31980,"Marion, IN"
696,Marion,North Carolina,32000,"Marion, NC"
697,Marion,Ohio,32020,"Marion, OH"
698,Marquette,Michigan,32100,"Marquette, MI"
699,Marshall,Minnesota,32140,"Marshall, MN"
700,Marshall,Missouri,32180,"Marshall, MO"
701,Marshall,Texas,32220,"Marshall, TX"
702,Marshalltown,Iowa,32260,"Marshalltown, IA"
703,Martin,Tennessee,32280,"Martin, TN"
704,Martinsville,Virginia,32300,"Martinsville, VA"
705,Maryville,Missouri,32340,"Maryville, MO"
706,Mason City,Iowa,32380,"Mason City, IA"
707,Mayagüez,Puerto Rico,32420,"Mayagüez, PR"
708,Mayfield,Kentucky,32460,"Mayfield, KY"
709,Maysville,Kentucky,32500,"Maysville, KY"
710,McAlester,Oklahoma,32540,"McAlester, OK"
711,Edinburg,Texas,32580,"McAllen-Edinburg-Mission, TX"
712,McAllen,Texas,32580,"McAllen-Edinburg-Mission, TX"
713,Mission,Texas,32580,"McAllen-Edinburg-Mission, TX"
714,McComb,Mississippi,32620,"McComb, MS"
715,McMinnville,Tennessee,32660,"McMinnville, TN"
716,McPherson,Kansas,32700,"McPherson, KS"
717,Meadville,Pennsylvania,32740,"Meadville, PA"
718,Medford,Oregon,32780,"Medford, OR"
719,Memphis,Tennessee,32820,"Memphis, TN-MS-AR"
720,Menomonie,Wisconsin,32860,"Menomonie, WI"
721,Merced,California,32900,"Merced, CA"
722,Meridian,Mississippi,32940,"Meridian, MS"
723,Merrill,Wisconsin,32980,"Merrill, WI"
724,Mexico,Missouri,33020,"Mexico, MO"
725,Miami,Oklahoma,33060,"Miami, OK"
726,Boca Raton,Florida,33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
727,Deerfield Beach,Florida,33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
728,Delray Beach,Florida,33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
729,Fort Lauderdale,Florida,33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
730,Jupiter,Florida,33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
731,Kendall,Florida,33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
732,Miami,Florida,33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
733,Miami Beach,Florida,33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
734,Pompano Beach,Florida,33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
735,West Palm Beach,Florida,33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
736,La Porte,Indiana,33140,"Michigan City-La Porte, IN"
737,Michigan City,Indiana,33140,"Michigan City-La Porte, IN"
738,Middlesborough,Kentucky,33180,"Middlesborough, KY"
739,Midland,Michigan,33220,"Midland, MI"
740,Midland,Texas,33260,"Midland, TX"
741,Milledgeville,Georgia,33300,"Milledgeville, GA"
742,Milwaukee,Wisconsin,33340,"Milwaukee-Waukesha-West Allis, WI"
743,Waukesha,Wisconsin,33340,"Milwaukee-Waukesha-West Allis, WI"
744,West Allis,Wisconsin,33340,"Milwaukee-Waukesha-West Allis, WI"
745,Mineral Wells,Texas,33420,"Mineral Wells, TX"
746,Bloomington,Minnesota,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
747,Eagan,Minnesota,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
748,Eden Prairie,Minnesota,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
749,Minneapolis,Minnesota,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
750,Plymouth,Minnesota,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
751,St. Paul,Minnesota,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
752,Minot,North Dakota,33500,"Minot, ND"
753,Missoula,Montana,33540,"Missoula, MT"
754,Mitchell,South Dakota,33580,"Mitchell, SD"
755,Moberly,Missouri,33620,"Moberly, MO"
756,Mobile,Alabama,33660,"Mobile, AL"
757,Modesto,California,33700,"Modesto, CA"
758,Monroe,Louisiana,33740,"Monroe, LA"
759,Monroe,Michigan,33780,"Monroe, MI"
760,Montgomery,Alabama,33860,"Montgomery, AL"
761,Montrose,Colorado,33940,"Montrose, CO"
762,Morehead City,North Carolina,33980,"Morehead City, NC"
763,Morgan City,Louisiana,34020,"Morgan City, LA"
764,Morgantown,West Virginia,34060,"Morgantown, WV"
765,Morristown,Tennessee,34100,"Morristown, TN"
766,Moscow,Idaho,34140,"Moscow, ID"
767,Moses Lake,Washington,34180,"Moses Lake, WA"
768,Moultrie,Georgia,34220,"Moultrie, GA"
769,Mountain Home,Arkansas,34260,"Mountain Home, AR"
770,Mountain Home,Idaho,34300,"Mountain Home, ID"
771,Mount Airy,North Carolina,34340,"Mount Airy, NC"
772,Mount Pleasant,Michigan,34380,"Mount Pleasant, MI"
773,Mount Pleasant,Texas,34420,"Mount Pleasant, TX"
774,Mount Sterling,Kentucky,34460,"Mount Sterling, KY"
775,Mount Vernon,Illinois,34500,"Mount Vernon, IL"
776,Mount Vernon,Ohio,34540,"Mount Vernon, OH"
777,Anacortes,Washington,34580,"Mount Vernon-Anacortes, WA"
778,Mount Vernon,Washington,34580,"Mount Vernon-Anacortes, WA"
779,Muncie,Indiana,34620,"Muncie, IN"
780,Murray,Kentucky,34660,"Murray, KY"
781,Muscatine,Iowa,34700,"Muscatine, IA"
782,Muskegon,Michigan,34740,"Muskegon, MI"
783,Muskogee,Oklahoma,34780,"Muskogee, OK"
784,Conway,South Carolina,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
785,Myrtle Beach,South Carolina,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
786,North Myrtle Beach,South Carolina,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
787,Nacogdoches,Texas,34860,"Nacogdoches, TX"
788,Napa,California,34900,"Napa, CA"
789,Immokalee,Florida,34940,"Naples-Immokalee-Marco Island, FL"
790,Marco Island,Florida,34940,"Naples-Immokalee-Marco Island, FL"
791,Naples,Florida,34940,"Naples-Immokalee-Marco Island, FL"
792,Franklin,Tennessee,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN"
793,Murfreesboro,Tennessee,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN"
794,Nashville-Davidson metropolitan government (balance),Tennessee,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN"
795,Natchez,Mississippi,35020,"Natchez, MS-LA"
796,Natchitoches,Louisiana,35060,"Natchitoches, LA"
797,New Bern,North Carolina,35100,"New Bern, NC"
798,Newberry,South Carolina,35140,"Newberry, SC"
799,New Castle,Indiana,35220,"New Castle, IN"
800,New Castle,Pennsylvania,35260,"New Castle, PA"
801,Milford city (balance),Connecticut,35300,"New Haven-Milford, CT"
802,New Haven,Connecticut,35300,"New Haven-Milford, CT"
803,Metairie,Louisiana,35380,"New Orleans-Metairie, LA"
804,New Orleans,Louisiana,35380,"New Orleans-Metairie, LA"
805,Dover,Ohio,35420,"New Philadelphia-Dover, OH"
806,New Philadelphia,Ohio,35420,"New Philadelphia-Dover, OH"
807,Newport,Oregon,35440,"Newport, OR"
808,Newport,Tennessee,35460,"Newport, TN"
809,Newton,Iowa,35500,"Newton, IA"
810,New Ulm,Minnesota,35580,"New Ulm, MN"
811,Jersey City,New Jersey,35620,"New York-Newark-Jersey City, NY-NJ-PA"
812,Lakewood,,35620,"New York-Newark-Jersey City, NY-NJ-PA"
813,Newark,New Jersey,35620,"New York-Newark-Jersey City, NY-NJ-PA"
814,New Brunswick,,35620,"New York-Newark-Jersey City, NY-NJ-PA"
815,New York,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA"
816,White Plains,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA"
817,Benton Harbor,Michigan,35660,"Niles-Benton Harbor, MI"
818,Niles,Michigan,35660,"Niles-Benton Harbor, MI"
819,Nogales,Arizona,35700,"Nogales, AZ"
820,Norfolk,Nebraska,35740,"Norfolk, NE"
821,North Platte,Nebraska,35820,"North Platte, NE"
822,Bradenton,Florida,35840,"North Port-Sarasota-Bradenton, FL"
823,North Port,Florida,35840,"North Port-Sarasota-Bradenton, FL"
824,Sarasota,Florida,35840,"North Port-Sarasota-Bradenton, FL"
825,Venice,Florida,35840,"North Port-Sarasota-Bradenton, FL"
826,North Vernon,Indiana,35860,"North Vernon, IN"
827,North Wilkesboro,North Carolina,35900,"North Wilkesboro, NC"
828,Norwalk,Ohio,35940,"Norwalk, OH"
829,New London,Connecticut,35980,"Norwich-New London, CT"
830,Norwich,Connecticut,35980,"Norwich-New London, CT"
831,Oak Harbor,Washington,36020,"Oak Harbor, WA"
832,Ocala,Florida,36100,"Ocala, FL"
833,Ocean City,New Jersey,36140,"Ocean City, NJ"
834,Odessa,Texas,36220,"Odessa, TX"
835,Clearfield,Utah,36260,"Ogden-Clearfield, UT"
836,Ogden,Utah,36260,"Ogden-Clearfield, UT"
837,Massena,New York,36300,"Ogdensburg-Massena, NY"
838,Ogdensburg,New York,36300,"Ogdensburg-Massena, NY"
839,Oil City,Pennsylvania,36340,"Oil City, PA"
840,Okeechobee,Florida,36380,"Okeechobee, FL"
841,Oklahoma City,Oklahoma,36420,"Oklahoma City, OK"
842,Olean,New York,36460,"Olean, NY"
843,Olympia,Washington,36500,"Olympia-Tumwater, WA"
844,Tumwater,Washington,36500,"Olympia-Tumwater, WA"
845,Council Bluffs,Iowa,36540,"Omaha-Council Bluffs, NE-IA"
846,Omaha,Nebraska,36540,"Omaha-Council Bluffs, NE-IA"
847,Oneonta,New York,36580,"Oneonta, NY"
848,Ontario,Oregon,36620,"Ontario, OR-ID"
849,Opelousas,Louisiana,36660,"Opelousas, LA"
850,Orangeburg,South Carolina,36700,"Orangeburg, SC"
851,Kissimmee,Florida,36740,"Orlando-Kissimmee-Sanford, FL"
852,Orlando,Florida,36740,"Orlando-Kissimmee-Sanford, FL"
853,Sanford,Florida,36740,"Orlando-Kissimmee-Sanford, FL"
854,Neenah,Wisconsin,36780,"Oshkosh-Neenah, WI"
855,Oshkosh,Wisconsin,36780,"Oshkosh-Neenah, WI"
856,Oskaloosa,Iowa,36820,"Oskaloosa, IA"
857,Othello,Washington,36830,"Othello, WA"
858,Ottawa,Kansas,36840,"Ottawa, KS"
859,Ottawa,Illinois,36860,"Ottawa-Peru, IL"
860,Peru,Illinois,36860,"Ottawa-Peru, IL"
861,Ottumwa,Iowa,36900,"Ottumwa, IA"
862,Owatonna,Minnesota,36940,"Owatonna, MN"
863,Owensboro,Kentucky,36980,"Owensboro, KY"
864,Owosso,Michigan,37020,"Owosso, MI"
865,Oxford,Mississippi,37060,"Oxford, MS"
866,Oxford,North Carolina,37080,"Oxford, NC"
867,Camarillo,California,37100,"Oxnard-Thousand Oaks-Ventura, CA"
868,Oxnard,California,37100,"Oxnard-Thousand Oaks-Ventura, CA"
869,San Buenaventura (Ventura),California,37100,"Oxnard-Thousand Oaks-Ventura, CA"
870,Thousand Oaks,California,37100,"Oxnard-Thousand Oaks-Ventura, CA"
871,Ozark,Alabama,37120,"Ozark, AL"
872,Paducah,Kentucky,37140,"Paducah, KY-IL"
873,Pahrump,Nevada,37220,"Pahrump, NV"
874,Palatka,Florida,37260,"Palatka, FL"
875,Palestine,Texas,37300,"Palestine, TX"
876,Melbourne,Florida,37340,"Palm Bay-Melbourne-Titusville, FL"
877,Palm Bay,Florida,37340,"Palm Bay-Melbourne-Titusville, FL"
878,Titusville,Florida,37340,"Palm Bay-Melbourne-Titusville, FL"
879,Pampa,Texas,37420,"Pampa, TX"
880,Panama City,Florida,37460,"Panama City, FL"
881,Paragould,Arkansas,37500,"Paragould, AR"
882,Paris,Tennessee,37540,"Paris, TN"
883,Paris,Texas,37580,"Paris, TX"
884,Parkersburg,West Virginia,37620,"Parkersburg-Vienna, WV"
885,Vienna,West Virginia,37620,"Parkersburg-Vienna, WV"
886,Parsons,Kansas,37660,"Parsons, KS"
887,Payson,Arizona,37740,"Payson, AZ"
888,Pecos,Texas,37780,"Pecos, TX"
889,Pella,Iowa,37800,"Pella, IA"
890,Brent,Florida,37860,"Pensacola-Ferry Pass-Brent, FL"
891,Ferry Pass,Florida,37860,"Pensacola-Ferry Pass-Brent, FL"
892,Pensacola,Florida,37860,"Pensacola-Ferry Pass-Brent, FL"
893,Peoria,Illinois,37900,"Peoria, IL"
894,Peru,Indiana,37940,"Peru, IN"
895,Wilmington,Delaware,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
896,Camden,New Jersey,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
897,Philadelphia,Pennsylvania,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
898,Mesa,Arizona,38060,"Phoenix-Mesa-Scottsdale, AZ"
899,Phoenix,Arizona,38060,"Phoenix-Mesa-Scottsdale, AZ"
900,Scottsdale,Arizona,38060,"Phoenix-Mesa-Scottsdale, AZ"
901,Tempe,Arizona,38060,"Phoenix-Mesa-Scottsdale, AZ"
902,Picayune,Mississippi,38100,"Picayune, MS"
903,Pierre,South Dakota,38180,"Pierre, SD"
904,Pine Bluff,Arkansas,38220,"Pine Bluff, AR"
905,Pinehurst,North Carolina,38240,"Pinehurst-Southern Pines, NC"
906,Southern Pines,North Carolina,38240,"Pinehurst-Southern Pines, NC"
907,Pittsburg,Kansas,38260,"Pittsburg, KS"
908,Pittsburgh,Pennsylvania,38300,"Pittsburgh, PA"
